DYA;R;PIC
-0.553383936;0.02;0.38
1.0589551349;0.02;0.56
0.9533595;0.02;0.41
0.2708779794;0.03;0.1
0.4745005525;0.03;-0.05
0.3846405741;0.03;0.57
0.1356947339;0.03;0.26
-0.0585072983;0.04;0
0.2481481539;0.09;-0.09
0.0720738817;0.09;0.68
0.4333817446;0.1;0.26
0.2968887586;0.11;0.48
0.6145494206;0.18;0.51
0.3451068923;0.24;0.26
0.5484177091;0.29;0.51
0.9069334313;0.3;0.61
0.4250884067;0.36;0.63
0.3176633478;0.43;0.7
0.3705644564;0.48;0.43
-0.0897111079;0.56;0.43
0.6773035105;0.6;0.34
0.6330361887;0.6;0.5
0.8940699913;0.55;0.31
0.430351862;0.41;0.32
-1.2095256057;0.32;0.47
-8.3913259351;0.02;-0.4
7.2663666205;0.02;0.88
0.842919369;0.02;0.7
1.3642626146;0.02;1.3
1.3800452642;0.02;1.51
0.6474354482;0.02;1.47
1.5412900889;0.02;1.72
-0.9966587436;0.03;2.01
-0.289680777;0.19;2.18
0.4591820926;0.55;1.09
0.4489827233;0.91;0.95
0.0171016419;1.13;0.97
0.3113483592;1.25;0.42
0.9520696354;1.32;0.81
0.5964009016;1.33;0.38
